model,label,segment_start_s,segment_end_s,input_psprate,segment_freq_hz,tail_plasma
baseline,Baseline + AHP,0,150,160,0.94,0.55292561074984
baseline,Baseline + AHP,150,300,240,2.5,2.9214369713074975
baseline,Baseline + AHP,300,450,360,5.133333333333334,13.47783694927335
baseline,Baseline + AHP,450,600,240,2.513333333333333,6.952580204462657
baseline,Baseline + AHP,600,750,180,1.3533333333333333,3.015629950644619
simple_dap,Simple DAP,0,150,160,0.9666666666666667,0.5886896126947262
simple_dap,Simple DAP,150,300,240,2.6,3.2310589541923673
simple_dap,Simple DAP,300,450,360,5.513333333333334,16.02682984943727
simple_dap,Simple DAP,450,600,240,2.7,8.370515878273935
simple_dap,Simple DAP,600,750,180,1.4,3.4292314400468524
